value,percentage,datetime
10989.323,0.014226347831300322,2014-03-26T00:00:00.000+01:00
10911.999,0.014424523884024276,2014-03-27T00:00:00.000+01:00
12761.789,0.016768891560924207,2014-03-28T00:00:00.000+01:00
12905.881,0.018560447506898902,2014-03-29T00:00:00.000+01:00
11149.848,0.01822986145543152,2014-03-30T00:00:00.000+01:00
12924.829,0.017446419894696714,2014-03-31T00:00:00.000+02:00
14606.698,0.019424971842218332,2014-04-01T00:00:00.000+02:00
12733.218,0.016820566468512082,2014-04-02T00:00:00.000+02:00
13064.225,0.01721081856795071,2014-04-03T00:00:00.000+02:00
11903.813,0.015910824320532,2014-04-04T00:00:00.000+02:00
10937.692,0.01648190003751433,2014-04-05T00:00:00.000+02:00
9776.549,0.01631181787392443,2014-04-06T00:00:00.000+02:00
10617.034,0.015041217216231745,2014-04-07T00:00:00.000+02:00
10750.825,0.014948084094593235,2014-04-08T00:00:00.000+02:00
10789.871,0.015026927092080936,2014-04-09T00:00:00.000+02:00
9729.431,0.013720132862537633,2014-04-10T00:00:00.000+02:00
11343.358,0.015899657859636856,2014-04-11T00:00:00.000+02:00
11230.418,0.017388047695587352,2014-04-12T00:00:00.000+02:00
9259.418,0.015825665569945198,2014-04-13T00:00:00.000+02:00
9755.426,0.014296548978291511,2014-04-14T00:00:00.000+02:00
11007.322,0.015787210745510896,2014-04-15T00:00:00.000+02:00
10614.266,0.01544860966484959,2014-04-16T00:00:00.000+02:00
9670.244,0.01588677686830493,2014-04-17T00:00:00.000+02:00
9290.38,0.016784091788786717,2014-04-18T00:00:00.000+02:00
10219.701,0.0175829698167329,2014-04-19T00:00:00.000+02:00
10056.598,0.018093968955593058,2014-04-20T00:00:00.000+02:00
10043.955,0.0163930503496289,2014-04-21T00:00:00.000+02:00
10134.557,0.01477606506180437,2014-04-22T00:00:00.000+02:00
10259.172,0.014826448376755489,2014-04-23T00:00:00.000+02:00
10328.845,0.01458833335635996,2014-04-24T00:00:00.000+02:00
9814.018,0.013834330148981985,2014-04-25T00:00:00.000+02:00
9377.487,0.014499491165724942,2014-04-26T00:00:00.000+02:00
9254.144,0.01575325932996013,2014-04-27T00:00:00.000+02:00
10124.508,0.014757662745068017,2014-04-28T00:00:00.000+02:00
10013.947,0.014137228353957084,2014-04-29T00:00:00.000+02:00
9734.003,0.01381122767615936,2014-04-30T00:00:00.000+02:00
9129.267,0.015640220565580298,2014-05-01T00:00:00.000+02:00
10212.199,0.01618521272529153,2014-05-02T00:00:00.000+02:00
8535.173,0.013893357588685243,2014-05-03T00:00:00.000+02:00
7488.342,0.013110926154179699,2014-05-04T00:00:00.000+02:00
7845.139,0.011428956520245701,2014-05-05T00:00:00.000+02:00
8053.247,0.01135936447059728,2014-05-06T00:00:00.000+02:00
8525.355,0.011923475787481489,2014-05-07T00:00:00.000+02:00
8737.526,0.012192017694672284,2014-05-08T00:00:00.000+02:00
8043.795,0.011258888173254126,2014-05-09T00:00:00.000+02:00
7649.526,0.01180809134379312,2014-05-10T00:00:00.000+02:00
8108.127,0.013614335853792464,2014-05-11T00:00:00.000+02:00
8374.581,0.011901766959068322,2014-05-12T00:00:00.000+02:00
9432.284,0.01309012200756046,2014-05-13T00:00:00.000+02:00
