valueAndalucia,valueAragon,valueCantabria,valueCastilla_la_Mancha,valueCastilla_y_Leon,valueCataluña,valuePais_Vasco,valuePrincipado_de_Asturias,valueComunidad_de_Ceuta,valueComunidad_de_Melilla,valueComunidad_de_Madrid,valueComunidad_de_Navarra,valueComunidad_Valenciana,valueExtremadura,valueGalicia,valueIslas_Baleares,valueIslas_Canarias,valueLa_Rioja,valueRegion_de_Murcia,datetime
3485428.721,903645.512,374887.914,1069550.84,1265447.012,4166773.739,1565679.743,956258.03,18698.456,18439.342,2785644.732,426410.719,2391973.644,456054.476,1865880.341,450337.744,728282.214,155901.049,765484.164,2015-01-01T00:00:00.000+01:00
3167179.074,849701.481,350424.136,967544.604,1183589.347,3875789.258,1509779.461,890800.057,16234.458,16875.086,2543195.794,417938.43,2216907.15,407777.076,1718823.101,432565.002,659110.673,146872.17,708018.114,2015-02-01T00:00:00.000+01:00
3150607.517,904810.786,393903.333,964927.024,1201742.215,3960238.857,1567560.327,929543.143,15897.638,16655.991,2446457.005,424378.663,2192370.0,393253.836,1745705.028,438112.271,712202.314,149748.231,712508.407,2015-03-01T00:00:00.000+01:00
2809896.497,800756.867,348258.862,851270.36,1056678.981,3547210.863,1381717.766,856934.826,15142.319,15744.248,2120817.01,380280.86,1955264.817,343621.07,1577762.583,396128.115,671852.862,130672.637,653734.33,2015-04-01T00:00:00.000+02:00
3047140.45,852269.274,358305.596,978384.67,1096363.615,3692788.614,1443633.165,863399.454,16646.738,16667.06,2197378.236,408220.724,2085205.931,367992.191,1598331.808,449841.486,701299.031,134176.512,716397.344,2015-05-01T00:00:00.000+02:00
3184114.599,848747.285,341599.137,954580.662,1100185.951,3864700.681,1418181.158,822456.29,16896.176,17192.483,2348360.395,410373.79,2221761.81,399268.592,1547149.411,522860.102,682683.027,136539.991,745173.993,2015-06-01T00:00:00.000+02:00
3923735.479,925582.876,360853.149,1127872.169,1272522.336,4505638.561,1346415.784,878110.776,19155.601,21678.633,2821408.312,413823.322,2740927.677,457673.723,1595864.529,695626.141,764250.299,159923.63,914676.099,2015-07-01T00:00:00.000+02:00
3621936.219,845503.374,353605.822,1036015.703,1120544.413,3854649.146,1171022.468,832511.783,18611.021,21167.398,2324268.317,368371.613,2340351.676,464554.144,1552947.67,655989.676,763974.804,133745.782,840272.743,2015-08-01T00:00:00.000+02:00
3034131.643,826616.589,341766.173,884880.304,1066987.665,3715257.729,1383108.038,819975.734,16586.627,17753.807,2135972.717,389278.394,2158893.78,397413.143,1541750.716,523712.01,746706.563,136483.334,710072.189,2015-09-01T00:00:00.000+02:00
2956529.323,840095.886,348195.082,853196.079,1114237.166,3756932.177,1449635.593,872877.645,16965.814,17414.659,2197706.938,405082.835,2075797.798,366363.101,1626654.357,447095.247,756826.611,143567.72,713738.958,2015-10-01T00:00:00.000+02:00
2921433.923,844540.515,348327.575,878463.136,1148084.056,3757928.173,1431252.772,864287.256,16098.263,16367.168,2312518.255,406608.27,2095793.294,371707.656,1636100.259,368534.619,713288.253,144637.781,686147.654,2015-11-01T00:00:00.000+01:00
3236452.127,851147.647,331071.824,975417.322,1200695.934,3876726.24,1319518.407,900378.726,17089.979,17245.681,2557614.574,393337.094,2197422.86,393741.061,1708525.262,407166.73,732736.688,148082.746,738362.996,2015-12-01T00:00:00.000+01:00
3305940.578,879275.459,297997.119,980802.01,1225929.976,3979236.621,1469943.556,917147.058,17311.162,17057.436,2626001.248,416668.673,2267972.157,430131.453,1776455.948,409886.464,724877.676,151567.234,738822.756,2016-01-01T00:00:00.000+01:00
3139510.291,857729.826,345011.445,958320.53,1186063.009,3858656.876,1448288.188,892362.901,16981.579,16119.976,2539186.23,416547.873,2190976.205,406481.729,1710594.267,403364.001,679305.832,147258.341,697647.352,2016-02-01T00:00:00.000+01:00
3255476.096,900580.378,381987.493,995224.499,1231589.717,3994666.014,1453430.077,948577.802,16940.802,16393.406,2522750.817,421903.581,2235786.835,409177.902,1783449.47,448748.994,718524.759,150332.595,744168.216,2016-03-01T00:00:00.000+01:00
2978747.302,848672.062,368317.682,931715.357,1133842.352,3710579.082,1395089.468,888067.376,16286.124,15680.552,2297628.125,411674.104,2052173.922,371030.151,1679120.743,413043.37,688809.859,140613.23,695106.899,2016-04-01T00:00:00.000+02:00
2996114.645,859894.679,365297.805,887375.472,1101075.662,3720708.816,1365636.943,880476.311,16948.654,16451.0,2180629.261,415325.612,2096603.086,356185.846,1620285.889,471214.692,698555.906,137006.3,708272.392,2016-05-01T00:00:00.000+02:00
3232491.773,846544.608,331349.394,980300.821,1116576.81,3784654.367,1317061.111,824537.698,16942.708,17314.149,2299542.753,416390.256,2226321.573,388375.043,1542618.391,533332.67,706310.976,135919.675,773701.05,2016-06-01T00:00:00.000+02:00
3794551.34,880755.454,338924.912,1085040.388,1212846.161,4272885.002,1233578.738,875652.464,18292.977,18777.352,2561135.859,386757.361,2530507.646,451198.039,1564340.592,642436.214,761974.81,146779.24,866836.049,2016-07-01T00:00:00.000+02:00
3826430.741,880559.758,367394.179,1079734.196,1164434.698,3937413.394,1086273.456,844856.234,19186.116,20562.343,2393854.955,391994.565,2358992.266,511029.377,1605756.679,650485.337,791081.608,137122.295,839717.388,2016-08-01T00:00:00.000+02:00
