valueAndalucia,valueAragon,valueCantabria,valueCastilla_la_Mancha,valueCastilla_y_Leon,valueCataluña,valuePais_Vasco,valuePrincipado_de_Asturias,valueComunidad_de_Ceuta,valueComunidad_de_Melilla,valueComunidad_de_Madrid,valueComunidad_de_Navarra,valueComunidad_Valenciana,valueExtremadura,valueGalicia,valueIslas_Baleares,valueIslas_Canarias,valueLa_Rioja,valueRegion_de_Murcia,datetime
3244892.669,862542.218,304161.9,967896.421,1169438.458,3867791.357,1334444.541,762903.373,17074.705,15777.335,2461280.721,450768.137,2335903.696,422604.675,1222360.062,441907.325,711831.264,143234.495,729615.094,2022-03-01T00:00:00.000+01:00
2951377.99,810340.074,316698.634,870371.065,1077679.015,3491081.568,1243211.747,744261.891,15441.172,14619.04,2135856.23,405453.591,2022018.305,382163.166,1185070.353,436269.067,673433.002,124795.323,667236.061,2022-04-01T00:00:00.000+02:00
3058362.425,859877.801,332904.241,932916.492,1094785.724,3638488.803,1348679.851,746880.606,16203.751,15612.354,2147498.479,432298.099,2114284.161,384283.996,1170065.795,471928.705,700562.923,129935.732,731527.729,2022-05-01T00:00:00.000+02:00
3355924.206,901058.105,307252.279,1016335.423,1105060.635,3875541.102,1319849.559,715529.681,16614.684,16241.42,2278709.085,441189.631,2379789.093,389479.164,975519.556,575160.299,692786.761,136016.907,818243.15,2022-06-01T00:00:00.000+02:00
3941678.659,914018.204,326449.58,1178496.178,1195206.286,4294785.815,1280078.621,732889.309,17855.742,19131.181,2609399.183,401830.73,2726491.368,467239.349,1022555.292,702347.474,753603.729,142918.606,893496.978,2022-07-01T00:00:00.000+02:00
3727687.473,863125.945,304567.88,1087655.342,1119482.193,3933910.929,1000410.7,708398.457,16827.505,20549.941,2316301.659,404697.358,2557579.832,484194.628,965626.034,728897.76,755044.662,132172.212,881397.561,2022-08-01T00:00:00.000+02:00
3155392.792,821507.684,277551.589,923171.07,1031858.458,3731692.953,1229748.873,707408.995,15818.136,17281.549,2080647.719,417647.633,2303763.875,380011.471,991864.437,594704.899,724185.261,130817.731,769171.59,2022-09-01T00:00:00.000+02:00
2983323.753,810885.359,289082.02,840078.494,1029927.768,3487111.156,1281742.616,700942.369,16127.866,15378.266,2021135.562,412648.898,2039399.201,370400.382,1001338.083,466366.584,728445.296,126533.938,694124.897,2022-10-01T00:00:00.000+02:00
2834327.392,827694.204,273511.31,867037.819,1089968.229,3471854.473,1281056.724,708580.688,15157.762,14723.426,2184259.125,426469.707,2031853.924,369209.182,1074862.826,362348.262,709352.444,128727.911,672488.506,2022-11-01T00:00:00.000+01:00
3157836.204,822452.309,281942.857,954623.346,1118715.118,3614758.043,1208458.225,748780.602,15734.913,15185.434,2388831.587,388246.071,2052727.058,363945.401,1169032.143,397742.188,718604.428,130987.023,705552.308,2022-12-01T00:00:00.000+01:00
