datetime,value_Hidráulica,percentage_Hidráulica,value_Eólica,percentage_Eólica,value_Solar fotovoltaica,percentage_Solar fotovoltaica,value_Solar térmica,percentage_Solar térmica,value_Otras renovables,percentage_Otras renovables,value_Residuos renovables,percentage_Residuos renovables,value_Generación renovable,percentage_Generación renovable,value_Hidroeólica,percentage_Hidroeólica
2018-08-03T00:00:00.000+02:00,102171.004,0.4260511474442947,77451.3,0.3229704509515469,27959.146,0.1165891081471859,20290.0,0.08460891488983253,9297.756,0.038771466045856566,2610.078,0.010883975719951913,239809.24500000002,1,29.961,0.0001249368013314082
2018-08-04T00:00:00.000+02:00,76985.696,0.33276303433037874,96036.194,0.4151069222129383,28142.95,0.12164510972282609,18332.68,0.07924119078182847,9164.97,0.03961467370181197,2624.353,0.011343505518661968,231352.909,1,66.066,0.00028556373155437607
2018-08-05T00:00:00.000+02:00,67388.169,0.31787701199056273,82210.023,0.38779324107938645,28486.212,0.13437242898660315,21548.322,0.10164567924037982,9653.24,0.045535338513616234,2626.388,0.012388945747552067,211994.471,1,82.117,0.000387354441899572
2018-08-06T00:00:00.000+02:00,84071.467,0.40772777354378875,62843.439,0.3047765951949536,26824.35,0.13009208584714393,19695.537,0.09551894044812269,10042.493,0.04870384040900682,2583.219,0.01252803322018887,206195.095,1,134.59,0.0006527313367953782
2018-08-07T00:00:00.000+02:00,70226.216,0.30154429096240587,106189.028,0.4559649797484043,26232.25,0.11263863663960723,17734.655,0.07615082047761032,9773.641,0.0419670290289612,2604.4,0.011183031011986888,232888.561,1,128.371,0.0005512121310243315
2018-08-08T00:00:00.000+02:00,64579.177,0.27683657786036453,107456.275,0.4606411667436121,27086.189,0.11611247182724314,20945.355,0.08978808138528113,10436.679,0.044739723124485334,2639.379,0.011314431121296436,233275.44900000002,1,132.395,0.0005675479377171834
2018-08-09T00:00:00.000+02:00,59523.17,0.23015993341710186,130741.577,0.5055421721855019,28705.108,0.11099485706172434,26795.399,0.10361053098691952,10091.091,0.03901950841438579,2626.739,0.010156886357767987,258616.559,1,133.475,0.0005161115765986198
2018-08-10T00:00:00.000+02:00,50896.584,0.22609859005273664,105526.638,0.4687824248638286,27902.224,0.12395043065632123,28298.695,0.1257116791930953,9702.911,0.043103374020291595,2653.984,0.011789829361092723,225107.92299999998,1,126.887,0.000563671852633992
2018-08-11T00:00:00.000+02:00,62180.208,0.29963277278628425,80156.303,0.38625562854642675,27374.974,0.13191399045452595,25327.853,0.12204936373183904,9754.653,0.04700553150221122,2610.773,0.012580741979916916,207521.38499999995,1,116.621,0.0005619709987961
2018-08-12T00:00:00.000+02:00,52607.535,0.2512676091991849,94137.838,0.44962740583530814,25721.889,0.12285459778940055,24188.998,0.11553310179585234,9908.91,0.047327595285920454,2679.879,0.012799816400314183,209368.55,1,123.501,0.0005898736940194696
2018-08-13T00:00:00.000+02:00,56319.129,0.2855110391797822,73736.714,0.37380986200696387,28577.539,0.14487445033268812,25816.617,0.1308778967049798,10080.379,0.05110269875828609,2630.41,0.013334920228771486,197257.27300000002,1,96.485,0.0004891327885284107
2018-08-14T00:00:00.000+02:00,53157.235,0.1976061270542785,144490.451,0.5371272305347711,29273.274,0.10882015028318737,29192.063,0.1085182573953386,10312.553,0.03833577232472646,2511.512,0.009336267384305168,269006.006,1,68.918,0.00025619502339289783
2018-08-15T00:00:00.000+02:00,57678.393,0.2616188470968956,94213.986,0.427337744963232,27778.962,0.12600038998986107,27320.1,0.12391907424625886,10745.812,0.04874107616971898,2637.438,0.011962945792361833,220467.27,1,92.579,0.0004199217416716776
2018-08-16T00:00:00.000+02:00,65935.915,0.31753806873922097,84310.137,0.406025730864873,22549.905,0.10859716262302424,21415.109,0.1031321451093825,10740.615,0.051725287260691054,2561.469,0.012335673500479727,207647.276,1,134.126,0.0006459319023284466
2018-08-17T00:00:00.000+02:00,51859.528,0.1878528074732627,163871.387,0.59359776881285,25224.676,0.09137233574905329,21278.324,0.07707730972263584,11061.389,0.04006810432605298,2653.014,0.009610116932916754,276064.69500000007,1,116.377,0.00042155698322815223
2018-08-18T00:00:00.000+02:00,53270.158,0.18455758884730844,173092.037,0.5996875210580208,26488.313,0.09177031500287298,22100.074,0.07656700343909419,10965.404,0.0379902857238875,2625.827,0.00909733175280166,288637.05,1,95.237,0.00032995417601447907
2018-08-19T00:00:00.000+02:00,52576.945,0.20494669978888214,138927.272,0.5415431784230211,27834.557,0.10850003927073983,23827.686,0.09288112136043183,10636.349,0.04146084610569855,2644.084,0.01030672835336071,256539.60299999997,1,92.71,0.00036138669786590417
2018-08-20T00:00:00.000+02:00,83063.996,0.29652156526582263,133239.322,0.4756372702608354,29156.198,0.10408169465095621,21692.287,0.0774370510110717,10293.092,0.03674424417608222,2603.784,0.009294979106159361,280128.00999999995,1,79.331,0.0002831955290725837
2018-08-21T00:00:00.000+02:00,80630.643,0.34975400469696405,84518.599,0.36661891027740934,28640.241,0.12423364880317503,23510.005,0.10198006729520498,10668.653,0.046277742216098657,2531.228,0.010979785065103437,230535.296,1,35.927,0.0001558416460445172
2018-08-22T00:00:00.000+02:00,81705.276,0.4276379587033609,49819.577,0.2607511198144035,26364.113,0.1379873616282104,20415.261,0.10685161311291982,10263.808,0.053719834465074515,2487.936,0.013021629991490452,191061.79499999998,1,5.824,3.048228454045457e-05
2018-08-23T00:00:00.000+02:00,82506.53,0.40166512604987203,63604.725,0.30964579269655923,25689.916,0.12506577780389777,20372.483,0.09917900985708494,10624.278,0.05172199051467662,2610.533,0.01270881306609732,205411.23599999998,1,2.771,1.3490011812206808e-05
2018-08-24T00:00:00.000+02:00,64284.373,0.267465556790625,114597.651,0.4768021075917272,28020.2,0.1165825852324121,20042.204,0.08338883934002579,10739.088,0.04468171683565335,2640.296,0.010985379599674404,240346.36,1,22.548,9.381460988217171e-05
2018-08-25T00:00:00.000+02:00,45267.866,0.20744767590275018,110128.048,0.5046804638262938,27835.821,0.127562372242044,21734.86,0.09960368339589167,10597.131,0.04856315067264242,2645.362,0.012122820166107478,218213.416,1,4.328,1.983379427046777e-05
2018-08-26T00:00:00.000+02:00,47702.932,0.28078842096428913,56115.85,0.33030843706984103,28636.608,0.1685604554054105,24900.594,0.14656957501758702,9831.018,0.057867219161528774,2643.097,0.015557765570582744,169889.24200000003,1,59.143,0.0003481268107606248
2018-08-27T00:00:00.000+02:00,80675.869,0.3949454024397919,71919.513,0.35207902136212316,25572.005,0.12518669995258894,13846.671,0.06778580904466484,9579.154,0.04689435488525996,2585.339,0.012656420866049664,204270.94100000002,1,92.39,0.00045229144952144704
2018-08-28T00:00:00.000+02:00,74938.166,0.28992287417893164,127389.615,0.4928485082133922,25551.989,0.0988562502566242,18077.798,0.06993989090934175,9730.452,0.037645445057998,2652.874,0.010263513186519125,258476.211,1,135.317,0.0005235181971930098
