datetime,value_Hidráulica,percentage_Hidráulica,value_Eólica,percentage_Eólica,value_Solar fotovoltaica,percentage_Solar fotovoltaica,value_Solar térmica,percentage_Solar térmica,value_Otras renovables,percentage_Otras renovables,value_Residuos renovables,percentage_Residuos renovables,value_Generación renovable,percentage_Generación renovable,value_Turbinación bombeo,percentage_Turbinación bombeo,value_Nuclear,percentage_Nuclear,value_Ciclo combinado,percentage_Ciclo combinado,value_Carbón,percentage_Carbón,value_Motores diésel,percentage_Motores diésel,value_Turbina de gas,percentage_Turbina de gas,value_Turbina de vapor,percentage_Turbina de vapor,value_Fuel + Gas,percentage_Fuel + Gas,value_Cogeneración,percentage_Cogeneración,value_Residuos no renovables,percentage_Residuos no renovables,value_Generación no renovable,percentage_Generación no renovable,value_Consumos en bombeo,percentage_Consumos en bombeo,value_Saldo I. internacionales,percentage_Saldo I. internacionales,value_Demanda en b.c.,percentage_Demanda en b.c.,value_Hidroeólica,percentage_Hidroeólica
2013-04-22T00:00:00.000+02:00,155471.93,0.4210616934875916,153817.907,0.4165821342163622,28040.612,0.07594186021327762,18306.527,0.04957922153855245,12902.016,0.03494228640735342,698.895,0.0018928041368625856,369237.88700000005,1,15065.436,0.043088873304505844,146278.899,0.4183744132020877,36093.686,0.1032320779263618,34630.66,0.09904765591858201,7681.248,0.021969249472268103,3744.639,0.010710096637237147,7217.427,0.02064266826313687,-6.693,1.9142746949179406e-05,96064.429,0.2747552749386541,2853.224,0.00816054759021746,349622.955,1,-19180.737,0.025265210000973176,-21134.26,0.02783842545336852,678545.845,1,,
2013-04-23T00:00:00.000+02:00,158507.481,0.4638768069479134,118889.547,0.34793375740949334,32565.333,0.09530340520164794,19169.262,0.05609940926452532,11875.491,0.034753973826753846,694.559,0.0020326473496663274,341701.67299999995,1,14477.412,0.03958059844954601,140553.425,0.3842667926859705,50217.448,0.1372922622115719,41712.59,0.11404035991243107,7664.763,0.02095512005280624,3044.27,0.008322898349649747,7207.733,0.01970562042473763,-6.61,1.8071445072606842e-05,98018.617,0.26797852544756234,2867.549,0.007839751020651842,365757.19700000004,1,-13006.953,0.01785673215121156,-7940.297,0.010900920202453927,686511.621,1,,
2013-04-24T00:00:00.000+02:00,151879.941,0.46377115465477176,109330.946,0.3338461862183532,32262.78,0.0985156211837933,21737.087,0.06637501878422002,11605.076,0.03543653928846588,673.147,0.00205547987039576,327488.977,1,11922.45,0.031097215946457347,146247.115,0.3814549959699039,49604.642,0.12938332844513567,55312.004,0.1442697879059516,7837.974,0.020443715013333506,2965.607,0.007735165279898471,7496.626,0.01955338018543393,-55.915,0.00014584257678968354,99143.72,0.2585956469161206,2806.789,0.007320921760975393,383281.012,1,-6544.333,0.008998451927023275,-9958.886,0.01369345919862347,694266.7699999999,1,,
2013-04-25T00:00:00.000+02:00,161450.197,0.5261715503251839,100034.848,0.32601688964618686,18184.332,0.059263341500090286,14460.018,0.047125678569410884,12073.799,0.03934891165319951,636.271,0.0020736283059286393,306839.46499999997,1,7592.442,0.019533331472217766,146278.09,0.3763345731311353,53076.01,0.13655044010250522,61765.064,0.15890506223356657,8238.595,0.021195711076930968,2991.106,0.007695319235436952,7256.218,0.0186683166534131,-44.203,0.00011372254816914532,98775.724,0.25412363483320594,2674.155,0.006879888713419016,388603.20100000006,1,-6618.678,0.00923857585551682,14356.218,0.020038897343447735,703180.207,1,,
2013-04-26T00:00:00.000+02:00,161143.927,0.5009191381067211,118448.618,0.3681999113655226,19348.999,0.06014675255064255,9650.025,0.02999729679982486,12475.703,0.038780973694624146,629.215,0.001955927482664739,321696.487,1,8648.199,0.02309724929388155,146356.181,0.39088198574725797,49788.111,0.1329720108936492,48677.669,0.13000628870104053,8474.86,0.022634302720224757,2570.274,0.006864580629051448,7343.059,0.019611535801000946,-5.488,1.4657121572343786e-05,99746.392,0.2663985047278899,2815.262,0.007518884364431435,374414.519,1,-6840.087,0.009542687981133174,13837.197,0.019304440645926287,703108.116,1,,
2013-04-27T00:00:00.000+02:00,108278.601,0.2960872782945054,215369.508,0.5889268134462387,21524.946,0.058859854280682855,7249.846,0.01982466665037819,12363.031,0.033806644770563644,912.323,0.002494742557631291,365698.255,1,14463.175,0.04442856146088902,146445.699,0.44985777595198523,35416.955,0.10879522386855174,29347.272,0.09015012801555866,8828.869,0.027120874150844323,1806.907,0.005550529444856375,6443.337,0.019792901207219046,-5.518,1.695041387117183e-05,79661.969,0.24470883369743754,3118.073,0.009578221788786945,325526.73799999995,1,-46052.577,0.06142863164946218,-12414.809,0.016559870885388846,632757.6070000001,1,,
2013-04-28T00:00:00.000+02:00,103774.073,0.28062701724526634,232841.171,0.629651717627244,14013.266,0.03789483177984644,6087.382,0.016461566980150465,12122.972,0.032783077450452204,954.729,0.0025817889170405397,369793.593,1,7356.611,0.023536015310832353,146505.331,0.46871469940908417,44776.965,0.1432550033993376,18039.801,0.057714759220022484,7680.162,0.024571152453442605,1714.026,0.005483685650792837,4698.728,0.015032646710480777,-5.426,1.735940898282869e-05,78791.299,0.25207710719302273,2999.896,0.009597571244001448,312557.39300000004,1,-53488.933,0.07010495576549211,-27143.702,0.03557573354513727,601718.351,1,,
2013-04-29T00:00:00.000+02:00,136547.167,0.33886362466768616,235530.554,0.5845067239544282,16326.865,0.040517725668815834,1955.75,0.004853506290202471,11696.639,0.0290270796168874,899.132,0.002231339801979971,402956.107,1,19783.945,0.05394264137356145,146427.166,0.3992463638007966,57297.674,0.1562270760518813,25547.063,0.06965628228125285,8837.925,0.024097368788754372,2934.345,0.008000746059560072,5168.632,0.014092723284861218,-5.771,1.5735131864085912e-05,97706.864,0.2664062361923945,3049.537,0.008314827035073464,366747.38,1,-19034.097,0.023369293336723558,-25754.182,0.031619941508408085,724915.208,1,,
2013-04-30T00:00:00.000+02:00,167862.977,0.5359549178018708,111583.76,0.35626596160524227,17491.287,0.05584639003711896,3861.48,0.01232897946277676,11489.535,0.03668392457085231,914.5,0.0029198265221390108,313203.539,1,15811.75,0.03835113642966464,146491.04,0.3553115790955119,98041.021,0.23779686448840995,32254.624,0.07823305361592078,8788.356,0.021316011190947354,2464.002,0.0059763958363221355,6552.314,0.015892528540104773,-5.529,1.3410497466733018e-05,98810.509,0.23966324482385606,3069.811,0.0074457754817958315,412277.898,1,-8747.648,0.011808938551466516,6535.884,0.008823154810928971,723269.6730000001,1,,
2013-05-01T00:00:00.000+02:00,143144.448,0.5877806467339939,51873.646,0.2130038965558081,26318.676,0.10806991550564672,9601.492,0.03942570778135431,11753.805,0.04826354917017285,841.722,0.003456284253024125,243533.78900000002,1,4152.95,0.012267901825590932,132845.123,0.3924272931223713,71935.502,0.21249898898628689,39177.293,0.1157305492039179,8492.606,0.025087337110108358,1168.828,0.003452742545660747,6153.04,0.018176209838532617,-5.381,1.589558740738627e-05,70500.902,0.2082611503513424,4089.995,0.012081931428781417,338510.858,1,-17011.852,0.027315242568464904,23740.533,0.03811921345187143,588773.328,1,,
2013-05-02T00:00:00.000+02:00,152519.546,0.509584777947722,86523.581,0.2890849138190244,29639.336,0.09902832030510975,18159.006,0.060671260064341856,11714.139,0.039138242131692084,746.005,0.0024924857321099703,299301.613,1,11027.954,0.029106484882731286,138410.447,0.3653117870474958,73413.208,0.193762181892018,41356.821,0.1091545798281643,8521.708,0.02249165757102816,1786.94,0.004716336511409808,7163.815,0.018907720598053238,-5.172,1.3650649958594876e-05,93235.224,0.2460791582821315,3961.769,0.01045644273700937,378872.7139999999,1,-8593.419,0.012460593572331553,-2879.898,0.004175897684934308,666701.01,1,,
2013-05-03T00:00:00.000+02:00,148263.972,0.4669300649398359,106484.913,0.3353546156324665,31179.782,0.098194979115155,18520.009,0.05832535637893435,12315.42,0.03878514640334439,765.194,0.0024098375302637432,317529.29000000004,1,9404.06,0.02472320564297101,141073.647,0.37088159641526114,70109.808,0.1843181775502511,42182.958,0.11089869112519585,8475.717,0.02228259861832287,1526.38,0.004012841967120382,6951.697,0.018275961074113167,-5.006,1.3160737750366639e-05,96712.995,0.25425776353326407,3931.545,0.010336003335750141,380363.801,1,-9718.142,0.01363376900725753,-5188.14,0.007278541755956343,682986.809,1,,
