datetime,value_Carbón,percentage_Carbón,value_Motores diésel,percentage_Motores diésel,value_Turbina de gas,percentage_Turbina de gas,value_Turbina de vapor,percentage_Turbina de vapor,value_Ciclo combinado,percentage_Ciclo combinado,value_Cogeneración,percentage_Cogeneración,value_Residuos no renovables,percentage_Residuos no renovables,value_Total tCO2 eq.,percentage_Total tCO2 eq.,value_tCO2 eq./MWh,percentage_tCO2 eq./MWh,value_Fuel + Gas,percentage_Fuel + Gas
2015-10-15T00:00:00.000+02:00,174819.91400000002,0.6648064929197351,7208.036,0.027410773889290415,1790.988,0.006810782730057461,4715.098,0.017930610383167542,43851.112,0.166757340810444,28968.665,0.11016225864987371,1609.795,0.006121740617431748,262963.608,1,0.3648086812398447,1,,
2015-10-16T00:00:00.000+02:00,190948.054,0.6811047045199996,7020.33,0.025041259599759468,1615.171,0.005761255711484089,4720.696,0.016838549473820477,45365.039,0.1618154300940572,29027.593,0.10354035948013281,1653.631,0.005898441120746439,280350.51399999997,1,0.40412514624751933,1,,
2015-10-17T00:00:00.000+02:00,88261.691,0.5472549196707359,6781.465,0.04204757513454968,1072.927,0.0066525416921545686,4194.124,0.02600511010727299,32752.428,0.20307708985726958,26574.975,0.16477461109233466,1643.153,0.010188152445682564,161280.763,1,0.27081501374340233,1,,
2015-10-18T00:00:00.000+02:00,92052.53899999998,0.5490479484871834,6685.332,0.039874704809127755,1400.997,0.008356255428073514,3537.027,0.02109661981288509,36942.056,0.2203411256228212,25380.749,0.15138363722393508,1659.77,0.009899708615973892,167658.46999999997,1,0.3073456958924037,1,,
2015-10-19T00:00:00.000+02:00,151070.018,0.6415994508823316,6538.493,0.02776919983155075,1935.969,0.008222125500277736,5056.479,0.02147503649465403,42209.078,0.17926337486138053,26824.24800000001,0.11392348405711772,1824.174,0.007747328372687599,235458.45900000003,1,0.3455316681751064,1,,
2015-10-20T00:00:00.000+02:00,132551.12699999998,0.6359171644217374,6469.618,0.031038145254335202,2067.103,0.00991697549525676,4732.358,0.022703599346903514,33453.207,0.1604925511968934,27307.768,0.13100966235652345,1859.689,0.008921901928350233,208440.87,1,0.28434430138106753,1,,
2015-10-21T00:00:00.000+02:00,134855.20900000003,0.6305175677874999,6854.201,0.03204692036513509,1825.489,0.00853510140867332,4700.847,0.021978881193837792,36124.17500000001,0.16889912616820021,27709.708,0.12955715853928804,1810.548,0.008465244537365421,213880.17700000008,1,0.29013821721228233,1,,
2015-10-22T00:00:00.000+02:00,146357.92299999998,0.650675383825123,7138.844,0.03173774240952898,1565.349,0.006959200024963955,4706.577,0.020924414156775758,35465.784,0.15767313544657852,27878.254,0.12394063300436611,1819.588,0.008089491132663778,224932.31899999996,1,0.31247802436172917,1,,
2015-10-23T00:00:00.000+02:00,166521.58599999998,0.6681651956826843,7156.25,0.028714338461826867,1584.358,0.006357211089146283,4544.255,0.018233750375804235,38918.127,0.15615836101007688,28611.244,0.11480215811771712,1886.359,0.007568985262744211,249222.179,1,0.3682573245256779,1,,
2015-10-24T00:00:00.000+02:00,157040.239,0.6851180655045517,7013.967,0.030599771963877125,1803.376,0.00786757256843793,3773.691,0.016463448439682626,31479.588,0.13733572090042664,26240.57800000001,0.11447953818435862,1864.877,0.008135882438665492,229216.316,1,0.37550140080065814,1,,
2015-10-25T00:00:00.000+02:00,131068.256,0.6510251040001235,6961.8,0.03457974270313065,1240.387,0.006161088125529046,3279.934,0.01629165931271368,30854.546,0.15325666665257676,25965.731,0.12897358399820494,1955.309,0.00971215520772152,201325.963,1,0.3339653194852397,1,,
2015-10-26T00:00:00.000+01:00,138590.067,0.6339486254850929,7108.288,0.03251524084444075,1817.422,0.008313382075400602,4642.575,0.021236399575169082,37776.858,0.17280161358350116,26867.954,0.12290132241509562,1810.871,0.008283416021299821,218614.03500000003,1,0.32786566697254255,1,,
2015-10-27T00:00:00.000+01:00,128437.471,0.632656093601529,6746.048,0.03322962015445171,2310.103,0.011379083755060646,4664.826,0.022977956288868735,32008.964,0.1576694555475323,26997.895,0.13298597872706674,1847.787,0.009101811925490874,203013.094,1,0.2900001299631039,1,,
2015-10-28T00:00:00.000+01:00,121852.397,0.6231961269130286,6765.553,0.034601423770308115,2086.974,0.0106735209629745,4627.581,0.023667081051974053,31012.556,0.15860914730198872,27391.686,0.14009074129922802,1791.421,0.00916195870049782,195528.16800000003,1,0.2612662362392592,1,,
2015-10-29T00:00:00.000+01:00,134097.828,0.6166249667087249,7136.54,0.03281610750560019,1702.4,0.007828183043538432,4677.844,0.02151023207302514,40225.15,0.18496818441834467,27832.897,0.12798461721566712,1797.984,0.00826770903509951,217470.643,1,0.30550593582567215,1,,
2015-10-30T00:00:00.000+01:00,111920.696,0.6100054352933999,7038.281,0.038360998622830815,1548.591,0.008440341784922794,4689.883,0.02556143969020811,29117.766,0.15870161782769257,27377.87400000001,0.14921862125283658,1781.825,0.009711545528109138,183474.91600000003,1,0.27179341357664183,1,,
2015-10-31T00:00:00.000+01:00,114093.68900000001,0.6295992861174227,6715.43,0.037057526766195836,1107.561,0.006111815833490129,3225.527,0.017799314881934192,28494.273,0.15723896822404393,25776.823,0.1422433572042285,1803.054,0.009949730972684766,181216.35700000002,1,0.2953133139658421,1,,
2015-11-01T00:00:00.000+01:00,51413.805,0.4536718693299349,6339.944,0.05594322859253668,997.659,0.008803274207848136,2869.61,0.025321240724118253,26210.633,0.23128081785487148,23679.911,0.20894990146978012,1816.613,0.01602966782091038,113328.175,1,0.18632630918309775,1,,
2015-11-02T00:00:00.000+01:00,106103.54,0.594950690186221,6598.025,0.036996876142077265,1233.958,0.006919129783613336,2960.243,0.016598867634095238,33486.258,0.18776633002870466,26094.787,0.14632039172220293,1863.246,0.01044771450308553,178340.057,1,0.2604511363031534,1,,
2015-11-03T00:00:00.000+01:00,138952.941,0.6472303809537886,6797.235,0.031660913161114204,1661.77,0.007740376147616604,4019.521,0.01872256959341187,34597.843,0.1611536606848024,26828.44,0.12496447586234148,1830.783,0.008527623596924947,214688.53299999997,1,0.2976039510541469,1,,
